02020,ANY MARTIN RIEUX,02500,49.8823706752,4.22351346907
02025,ARTEMPS,02480,49.7617999337,3.19725095546
02032,AUBIGNY AUX KAISNES,02590,49.7721524634,3.1192565988
02042,AZY SUR MARNE,02400,49.0039701095,3.35913214045
02048,BARENTON SUR SERRE,02270,49.66833977,3.68940610952
02050,BARZY EN THIERACHE,02170,50.0395375873,3.74901595409
02053,VALLEES EN CHAMPAGNE,02330,48.9896915811,3.60486686026
02061,BECQUIGNY,02110,50.0158703814,3.45898644538
02066,BENAY,02440,49.755094123,3.30909898139
02069,BERLISE,02340,49.6622290606,4.11314086897
02074,BERTAUCOURT EPOURDON,02800,49.6276056573,3.39748988886
02075,BERTHENICOURT,02240,49.7788058177,3.37247241058
02083,BEUVARDES,02130,49.1308547007,3.49165019107
02084,BEZU LE GUERY,02310,49.0102591835,3.22764610411
02085,BEZU ST GERMAIN,02400,49.1046732888,3.40812513224
02095,BOHAIN EN VERMANDOIS,02110,49.989032874,3.46522354976
02098,BONNEIL,02400,49.0082419817,3.3459478468
02102,BOUCONVILLE VAUCLAIR,02860,49.4606212957,3.75658607824
02109,LA BOUTEILLE,02140,49.8778828965,3.96243530235
02110,BRAINE,02220,49.3484719318,3.53596629744
02115,BRAYE EN LAONNOIS,02000,49.4375773374,3.60977976284
02119,BRECY,02210,49.1398626041,3.42373097034
02136,BURELLES,02140,49.7687046874,3.91196369709
02137,BUSSIARES,02810,49.0765910572,3.25026191909
02145,CAUMONT,02300,49.6372659106,3.17347612819
02153,CESSIERES SUZY,02320,49.5595788079,3.50190405701
02160,CHAOURSE,02340,49.7007898116,3.98562292281
02164,LE CHARMEL,02850,49.1121866037,3.54125960951
02165,CHARMES,02800,49.6508532429,3.38525104222
02166,CHARTEVES,02400,49.0898127369,3.50871838479
02167,CHASSEMY,02370,49.3783410842,3.50271467967
02174,CHAVIGNON,02000,49.4794437147,3.51936895626
02188,CHIGNY,02120,49.9298846139,3.77489645427
02201,COEUVRES ET VALSERY,02600,49.3295432232,3.15290453511
02203,COINCY,02210,49.1632280955,3.43633795455
02205,COLLIGIS CRANDELAIN,02860,49.4666159338,3.63042181928
02207,COMMENCHON,02300,49.6416913377,3.15095437349
02220,COULONGES COHAN,02130,49.1980463524,3.62776592985
02222,COURBES,02800,49.6815888779,3.46004834981
02229,COURTRIZY ET FUSSIGNY,02820,49.5140957547,3.79503800634
02234,CRAONNE,02160,49.4476368348,3.79203280761
02235,CRAONNELLE,02160,49.4254999308,3.77686483236
02236,CRECY AU MONT,02380,49.4839031807,3.31195074309
02240,CROIX FONSOMME,02110,49.9306761102,3.39430326005
02241,LA CROIX SUR OURCQ,02210,49.1598010602,3.35048905306
02242,CROUTTES SUR MARNE,02310,48.9791200153,3.24757642131
02252,CUISSY ET GENY,02160,49.4034575347,3.70612307803
02255,CYS LA COMMUNE,02220,49.3837163848,3.57235420125
02256,DAGNY LAMBERCY,02140,49.7690562311,4.04218248631
02265,DOHIS,02360,49.7667554096,4.14178746545
02270,DOUCHY,02590,49.7940905147,3.13035849025
02286,ESQUEHERIES,02170,49.9822300914,3.75309920982
02289,ESSISES,02570,48.9666904843,3.41396491705
02293,ETAVES ET BOCQUIAUX,02110,49.9310354275,3.45081301205
02295,ETREAUPONT,02580,49.8962633822,3.92348915288
02299,EVERGNICOURT,02190,49.4564306975,4.03631753944
02305,FERE EN TARDENOIS,02130,49.1875000917,3.51106425515
02306,LA FERTE CHEVRESIS,02270,49.7409973498,3.55129770695
02316,FLEURY,02600,49.2652863131,3.15947064674
